t_DVL,WX,WY,WZ,t_filter,PN,PE
t_DVL,WX,WY,WZ,t_filter,PN,PE
02:57.5,-0.172,0.249,0.053,02:57.5,25.40156146,17.32862367
02:57.7,-0.104,0.177,-0.025,02:57.7,25.3985787,17.2844569
02:57.9,-0.19,0.149,0,02:57.9,25.39039868,17.23512678
02:58.1,-0.242,0.11,0.035,02:58.1,25.38377654,17.19936815
02:58.3,-0.068,0.096,0.055,02:58.3,25.37522911,17.17474562
02:58.5,-0.077,0.133,0.045,02:58.5,25.36709203,17.15270965
02:58.7,0,0.124,0.018,02:58.7,25.35882625,17.13619635
02:58.9,-0.068,-0.033,0.029,02:58.9,25.35026631,17.11567642
02:59.1,-0.14,0.079,0.05,02:59.1,25.34761102,17.08072497
02:59.3,-0.13,-0.023,0.112,02:59.3,25.33034002,17.06895363
02:59.5,-0.338,0.068,0.045,02:59.5,25.32798908,17.04099518
02:59.7,-0.226,0.015,0.091,02:59.7,25.30047625,17.00680202
02:59.9,-0.357,0.184,0.066,02:59.9,25.28731815,16.96576936
03:00.1,-0.315,0.089,0.04,03:00.1,25.27341859,16.91356619
03:00.3,-0.292,0.062,0.027,03:00.3,25.26161001,16.85888656
03:00.5,-0.359,0.109,0.005,03:00.5,25.25437095,16.79950071
03:00.7,-0.41,0.186,0.049,03:00.7,25.25251347,16.73628065
03:00.9,-0.346,0.281,0.04,03:00.9,25.25570256,16.66883951
03:01.1,-0.429,0.078,0.036,03:01.1,25.26458194,16.60483768
03:01.3,-0.324,0.11,-0.006,03:01.3,25.27695086,16.54260087
03:01.5,-0.362,0.165,0.016,03:01.5,25.30009918,16.46000649
03:01.7,-0.32,0.126,0.009,03:01.7,25.31999844,16.39585279
03:01.9,-0.279,0.128,0.011,03:01.9,25.34444609,16.33115304
03:02.1,-0.424,0.171,0.053,03:02.1,25.36881995,16.27192528
03:02.2,-0.227,-0.009,0.021,03:02.2,25.39230173,16.22537931
03:02.5,-0.221,0.141,0.055,03:02.4,25.42194875,16.16711323
03:02.7,-0.287,0.067,0.008,03:02.7,25.46198189,16.10109876
03:02.8,-0.268,0.009,0.055,03:02.8,25.48368207,16.06833996
03:03.0,-0.299,-0.035,0.015,03:03.0,25.51357888,16.0262685
03:03.2,-0.123,-0.076,0.056,03:03.2,25.54302327,15.99113964
03:03.4,-0.303,-0.095,-0.002,03:03.4,25.56956958,15.95898987
03:03.6,-0.283,-0.062,0.041,03:03.7,25.60369862,15.92394558
03:03.9,-0.16,0.075,0.103,03:03.8,25.62776573,15.90027796
03:04.0,-0.213,-0.008,0.086,03:04.0,25.65242128,15.88185919
03:04.2,-0.087,0.004,0.051,03:04.2,25.67230738,15.86525051
03:04.4,-0.295,-0.046,0.086,03:04.4,25.69887931,15.84550439
03:04.6,-0.205,-0.045,0.012,03:04.6,25.72372799,15.8304176
03:04.8,-0.271,0.123,0.031,03:04.8,25.75217223,15.81577298
03:05.0,-0.168,0.005,0.036,03:05.0,25.7817405,15.80077534
03:05.2,-0.167,0.066,-0.009,03:05.2,25.81267497,15.78345704
03:05.4,-0.203,0,-0.009,03:05.4,25.84831774,15.76595641
03:05.6,-0.214,0.156,-0.025,03:05.6,25.88771011,15.74523579
03:05.8,-0.302,0.079,-0.03,03:05.8,25.93202561,15.7226592
03:06.0,-0.334,0.077,0.026,03:06.0,25.9788356,15.69766924
03:06.2,-0.294,0.121,0.016,03:06.2,26.03913214,15.66584493
03:06.4,-0.279,0.08,0.006,03:06.4,26.08244525,15.63852288
03:06.6,-0.304,0.029,0.021,03:06.6,26.13914001,15.60729401
03:06.8,-0.307,0.225,0.003,03:06.8,26.19877418,15.5756977
03:07.0,-0.36,0.069,-0.04,03:07.0,26.25883724,15.54390379
03:07.2,-0.338,0.138,-0.002,03:07.2,26.33229081,15.50945969
03:07.4,-0.251,0.135,-0.048,03:07.4,26.39492539,15.48136104
03:07.6,-0.279,0.169,-0.025,03:07.6,26.45569794,15.45512146
03:07.8,-0.166,0.027,-0.026,03:07.8,26.51429421,15.43004116
03:08.0,-0.3,0.118,0.012,03:08.0,26.57226164,15.40885904
03:08.2,-0.31,0.16,0.01,03:08.2,26.62814017,15.38994956
03:08.4,-0.195,0.003,-0.047,03:08.4,26.68477315,15.37422082
03:08.6,-0.246,0.114,0.027,03:08.6,26.7411932,15.36230254
03:08.8,-0.238,0.172,0.005,03:08.8,26.79742643,15.35475107
03:09.0,-0.224,0.193,0.001,03:09.0,26.86320658,15.35648183
03:09.2,-0.242,0.131,0.032,03:09.1,26.91297023,15.34831692
03:09.3,-0.141,0.208,0.023,03:09.4,26.97224171,15.35036027
03:09.6,-0.116,0.149,0.055,03:09.6,27.03273415,15.35338998
03:09.8,-0.159,0.208,0.036,03:09.8,27.09193789,15.35865925
03:10.0,-0.123,0.19,-0.039,03:10.0,27.15139784,15.36583967
03:10.1,-0.196,0.148,0.084,03:10.1,27.21435355,15.37219849
03:10.3,-0.164,0.147,0.086,03:10.3,27.2748145,15.37883613
03:10.5,-0.181,0.162,0.114,03:10.5,27.3349225,15.38536874
03:10.7,-0.282,0.16,0.052,03:10.7,27.41078007,15.38995673
03:11.0,-0.25,0.184,0.055,03:10.9,27.47426176,15.39295207
03:11.1,-0.306,0.274,-0.005,03:11.1,27.53680816,15.39255703
03:11.3,-0.158,0.269,0.016,03:11.3,27.59952404,15.39231956
03:11.5,-0.288,0.13,0.015,03:11.5,27.64890945,15.38732029
03:11.7,-0.33,0.184,0.074,03:11.7,27.71306152,15.38176145
03:11.9,-0.158,0.062,0.005,03:11.9,27.79325886,15.37599311
03:12.1,-0.285,0.155,-0.008,03:12.1,27.86124172,15.36817231
03:12.3,-0.283,0.046,0.019,03:12.3,27.9295762,15.36186753
03:12.5,-0.28,0.132,0.036,03:12.5,27.99929162,15.35408782
03:12.7,-0.352,0.127,0.002,03:12.7,28.07256537,15.34923939
03:12.9,-0.226,0.156,0.016,03:12.9,28.14607618,15.34622253
03:13.1,-0.355,0.17,-0.015,03:13.1,28.22276741,15.34586831
03:13.3,-0.251,0.192,-0.011,03:13.3,28.30585086,15.34779782
03:13.5,-0.316,0.163,-0.013,03:13.5,28.40710547,15.3586463
03:13.7,-0.216,0.343,-0.005,03:13.7,28.47579897,15.36238337
03:13.9,-0.293,0.172,-0.006,03:13.9,28.56489347,15.37478403
03:14.1,-0.259,0.204,0.005,03:14.1,28.65591371,15.38664297
03:14.3,-0.219,0.434,0.002,03:14.3,28.74871276,15.40088142
03:14.5,-0.213,0.359,0.04,03:14.5,28.83894352,15.41856084
03:14.7,-0.27,0.339,0.052,03:14.7,28.93202316,15.43700516
03:14.9,-0.27,0.291,0.04,03:14.9,29.04238275,15.46579904
03:15.1,-0.271,0.235,0.015,03:15.0,29.11869039,15.47604387
03:15.2,-0.292,0.338,0.048,03:15.3,29.21196096,15.49533708
03:15.5,-0.397,0.259,0.052,03:15.5,29.30602801,15.51436925
03:15.7,-0.233,0.327,0.04,03:15.7,29.39701614,15.53190212
03:15.9,-0.279,0.323,0.109,03:15.9,29.48759207,15.54806744
03:16.1,-0.372,0.35,0.103,03:16.0,29.57686636,15.56300233
03:16.2,-0.283,0.309,0.023,03:16.2,29.66845127,15.57702358
03:16.4,-0.358,0.231,0.1,03:16.4,29.75711884,15.58977189
03:16.7,-0.228,0.326,0.064,03:16.7,29.86889861,15.60423738
03:16.9,-0.247,0.329,0.093,03:16.9,29.95971967,15.61389935
03:17.1,-0.346,0.189,0.126,03:17.1,30.05139623,15.62267191
03:17.2,-0.41,0.203,0.087,03:17.3,30.14491558,15.6325945
03:17.4,-0.289,0.333,-0.007,03:17.4,30.2393054,15.64147125
03:17.6,-0.403,0.319,0.041,03:17.6,30.33726388,15.64931605
03:17.8,-0.316,0.316,0.016,03:17.8,30.43893674,15.6578184
03:18.0,-0.325,0.318,0.033,03:18.0,30.54038015,15.667409
03:18.2,-0.353,0.381,0.04,03:18.2,30.64208801,15.67791037
03:18.4,-0.192,0.296,0.033,03:18.4,30.76931606,15.69012459
03:18.6,-0.275,0.31,0.038,03:18.6,30.85474308,15.69611031
03:18.8,-0.394,0.301,0.04,03:18.8,30.96362466,15.70628868
03:19.0,-0.337,0.327,0.074,03:19.0,31.07043521,15.71504363
03:19.2,-0.355,0.288,0.044,03:19.2,31.17470563,15.72795152
03:19.4,-0.335,0.463,0.08,03:19.4,31.28197468,15.73256453
03:19.6,-0.294,0.353,0.039,03:19.6,31.38751496,15.74005917
03:19.8,-0.195,0.378,0.06,03:19.8,31.49951575,15.75068444
03:20.0,-0.274,0.292,0.079,03:20.0,31.59030191,15.75446948
03:20.2,-0.238,0.428,0.08,03:20.2,31.68954388,15.75932437
03:20.4,-0.159,0.295,0.064,03:20.4,31.78320086,15.76610874
03:20.6,-0.141,0.362,0.044,03:20.6,31.87269319,15.77435808
03:20.8,-0.371,0.324,0.097,03:20.8,31.96554631,15.78084147
03:21.0,-0.271,0.254,0.114,03:21.0,32.05604601,15.78678913
03:21.2,-0.306,0.387,0.104,03:21.2,32.14250402,15.79256809
03:21.4,-0.335,0.302,0.089,03:21.4,32.25325403,15.7989551
03:21.6,-0.297,0.311,0.072,03:21.6,32.34181483,15.80294647
03:21.8,-0.285,0.318,0.076,03:21.8,32.42829865,15.80814762
03:22.0,-0.239,0.383,0.068,03:22.0,32.5231978,15.81320347
03:22.2,-0.199,0.305,0.053,03:22.2,32.60241619,15.81297761
03:22.4,-0.313,0.312,0.046,03:22.4,32.68964892,15.8159709
03:22.6,-0.196,0.329,0.042,03:22.6,32.77818671,15.81523775
03:22.8,-0.306,0.425,0.033,03:22.8,32.86972636,15.8141791
03:23.0,-0.353,0.497,0.075,03:23.0,32.9629032,15.80924454
03:23.2,-0.432,0.431,0.038,03:23.2,33.0602517,15.80311691
03:23.4,-0.38,0.476,0.053,03:23.4,33.16123928,15.79348225
03:23.6,-0.348,0.315,0.017,03:23.6,33.26325477,15.78129664
03:23.8,-0.336,0.386,0.044,03:23.8,33.39393908,15.76469605
03:24.0,-0.261,0.401,0.038,03:24.0,33.5019044,15.74831151
