t_DVL,WX,WY,WZ,BX,BY,BZ,t_imu,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,t_filter,PN,PE,Sample period (seconds),Time Since Start of Day (seconds),No of GPS Satellites Available,Latitude (degrees),Longitude (degrees),Velocity (km/hr),Indicated Vehicle Speed (km/hr),Wheel Speed Front Left (rad/sec),Wheel Speed Front Right (rad/sec),Wheel Speed Rear Left (rad/sec),Wheel Speed Rear Right (rad/sec),Steering Angle (degrees),Yaw Rate (deg/sec),Indicated Longitudinal Acceleration (g),Indicated Lateral Acceleration (g),Heading (degrees)
2017/08/23/12:21:47.024299,-0.171,-0.126,0.166,-0.341,-0.07,0.108,2017/08/23/12:21:47.020658,-0.49425516,-9.14764312,0.21182364,0.023038346,0.0143117,0.273318561,0.1927,0.3253,-0.2795,2017/08/23/12:21:47.026108,21.89327815,36.77967743,0.21079137018988406,0.21079137018988406,10,0.00019666976419331657,0.0003303959524793388,0.7646674571341453,0.7646674571341453,0.21240762698170704,0.21240762698170704,0.21240762698170704,0.21240762698170704,0.0,15.660000007888941,-0.05038278899082569,0.02159262385321101,128.0043488263653
2017/08/23/12:21:47.265068,-0.406,-0.144,0.302,-0.476,-0.285,0.009,2017/08/23/12:21:47.264421,-0.6276256,-8.9828914,0.10198916,0.009424778,0.033161256,0.216769893,0.2136,0.3161,-0.2789,2017/08/23/12:21:47.266908,21.79202024,36.90926137,0.243763,0.4545543701898841,10,0.0001957601530722242,0.0003315600194933525,1.5508104719790876,1.5508104719790876,0.43078068666085767,0.43078068666085767,0.43078068666085767,0.43078068666085767,0.0,12.419999994402447,-0.06397814475025485,0.01039644852191641,128.0043488263653
2017/08/23/12:21:47.513660,-0.229,-0.199,0.05,-0.441,-0.413,-0.203,2017/08/23/12:21:47.516348,0.0392266,-8.93581948,0.08629852,-0.069115038,-0.03700098,0.192335284,0.2293,0.3091,-0.2774,2017/08/23/12:21:47.516128,21.74007156,37.02350202,0.251927,0.7064813701898841,10,0.0001952934922745239,0.0003325862560186849,1.0921832813223247,1.0921832813223247,0.30338424481175685,0.30338424481175685,0.30338424481175685,0.30338424481175685,0.0,11.02000002465007,0.003998634046890928,0.00879699490316004,114.4527294320205
2017/08/23/12:21:47.762960,-0.237,-0.243,-0.202,-0.215,-0.316,-0.32,2017/08/23/12:21:47.760105,0.18044236,-9.55559976,0.14121576,-0.228289066,-0.031415927,0.166155345,0.242,0.3113,-0.2679,2017/08/23/12:21:47.764158,21.72409622,37.10826991,0.243757,0.9502383701898841,10,0.00019514998401006108,0.00033334773544735894,1.221975973577222,1.221975973577222,0.33943777043811724,0.33943777043811724,0.33943777043811724,0.33943777043811724,0.0,9.520000012040127,0.018393716615698264,0.014395082568807338,100.67277111031792
2017/08/23/12:21:48.042363,0.109,0.099,-0.25,-0.02,-0.031,-0.309,2017/08/23/12:21:48.044949,-0.57270836,-9.98709236,0.0392266,-0.156730567,0.065275314,0.071558499,0.2512,0.3206,-0.2478,2017/08/23/12:21:48.043891,21.72292015,37.12781988,0.284844,1.235082370189884,10,0.00019513941924182538,0.0003335233550125763,0.5300931238942834,0.5300931238942834,0.14724808997063427,0.14724808997063427,0.14724808997063427,0.14724808997063427,0.0,4.099999980991122,-0.05838005708460754,0.003998634046890928,93.44260061638224
2017/08/23/12:21:48.297413,-0.012,0.217,-0.287,-0.016,0.182,-0.343,2017/08/23/12:21:48.296538,-1.31801376,-10.69317116,-0.25105024,0.045378561,0.220958683,-0.016057029,0.2641,0.3222,-0.235,2017/08/23/12:21:48.299291,21.68346657,37.11347703,0.251589,1.4866713701898842,10,0.00019478500332375135,0.00033339451158821416,0.7823935582556901,0.7823935582556901,0.21733154395991391,0.21733154395991391,0.21733154395991391,0.21733154395991391,0.0,-0.9199999932191688,-0.13435410397553516,-0.025591257900101933,199.9780959477138
2017/08/23/12:21:48.558511,-0.109,0.246,-0.12,-0.119,0.349,-0.239,2017/08/23/12:21:48.556512,-1.4906108,-10.7088618,-0.42364728,0.152541777,0.11274827,-0.199665666,0.271,0.3248,-0.2392,2017/08/23/12:21:48.559984,21.63709016,37.06106371,0.259974,1.746645370189884,10,0.00019436839885016169,0.00033292367687747036,0.9686408622394577,0.9686408622394577,0.26906690617762713,0.26906690617762713,0.26906690617762713,0.26906690617762713,0.0,-11.439999975468737,-0.15194809378185525,-0.04318524770642202,228.49692096637094
2017/08/23/12:21:48.816817,-0.039,0.533,0.02,-0.044,0.441,-0.027,2017/08/23/12:21:48.816682,-0.61978028,-10.13615344,-0.42364728,0.070162236,-0.025830873,-0.346273324,0.2542,0.3319,-0.2519,2017/08/23/12:21:48.818336,21.59814319,37.08089009,0.26017,2.006815370189884,10,0.00019401853386633128,0.0003331017794646065,1.923929728446442,1.923929728446442,0.5344249245684561,0.5344249245684561,0.5344249245684561,0.5344249245684561,0.0,-19.840000023166116,-0.06317841794087665,-0.04318524770642202,153.02113432581635
2017/08/23/12:21:49.073391,0.026,0.385,0.082,0.02,0.431,0.151,2017/08/23/12:21:49.076751,0.28243152,-9.9635564,-0.56486304,-0.024783675,-0.02687807,-0.342782665,0.2336,0.3511,-0.2692,2017/08/23/12:21:49.075063,21.49646489,36.95512077,0.260069,2.266884370189884,10,0.0001931051463348904,0.0003319719796083363,1.389156924180994,1.389156924180994,0.38587692338360946,0.38587692338360946,0.38587692338360946,0.38587692338360946,0.0,-19.63999999474676,0.028790165137614676,-0.05758033027522935,231.04616748518862
2017/08/23/12:21:49.345923,-0.222,0.262,0.084,0.037,0.352,0.173,2017/08/23/12:21:49.344864,0.72176944,-9.89294852,-0.53348176,0.05550147,0.039793507,-0.333706953,0.2084,0.3678,-0.2746,2017/08/23/12:21:49.347844,21.45919369,36.88231523,0.268113,2.5349973701898842,10,0.00019277033498023714,0.0003313179593065038,1.2362632729317813,1.2362632729317813,0.3434064647032726,0.3434064647032726,0.3434064647032726,0.3434064647032726,0.0,-19.120000001070522,0.07357486646279306,-0.05438142303771661,242.89081870911735
